session;created;modified;ended;expired;prpid;topic;plot_perceived_difficulty_1;text_perceived_difficulty_1;effect_size_1;plot_accuracy_1;text_accuracy_1;effect_size_2;plot_perceived_informativity_1;text_perceived_informativity_1;effect_size_3;plot_relevance_1;text_relevance_1;effect_size_4;effect_size_5;effect_size_6;plot_perceived_difficulty_2;text_perceived_difficulty_2;effect_size_7;plot_accuracy_2;text_accuracy_2;effect_size_8;plot_perceived_informativity_2;text_perceived_informativity_2;effect_size_9;plot_relevance_2;text_relevance_2;effect_size_10;effect_size_11;effect_size_12;plot_perceived_difficulty_3;text_perceived_difficulty_3;plot_accuracy_3;text_accuracy_3;plot_perceived_informativity_3;text_perceived_informativity_3;plot_relevance_3;text_relevance_3;informed_consent;plot_perceived_difficulty_4;text_perceived_difficulty_4;plot_accuracy_4;text_accuracy_4;plot_perceived_informativity_4;text_perceived_informativity_4;plot_relevance_4;text_relevance_4;plot_perceived_difficulty_5;text_perceived_difficulty_5;plot_accuracy_5;text_accuracy_5;plot_perceived_informativity_5;text_perceived_informativity_5;plot_relevance_5;text_relevance_5;text_perceived_difficulty_6;plot_perceived_difficulty_6;text_accuracy_6;plot_accuracy_6;text_perceived_informativity_6;plot_perceived_informativity_6;text_relevance_6;plot_relevance_6;attention_check_1b;attention_check_1a;check_graph2;check_test;check_text2;data_quality
fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp;18.01.2024 14:15;18.01.2024 14:25;18.01.2024 14:25;;5ea804463634051fba362769;ai_feedback_vs_teacher_feedback;2;3;0.8;37;90;-0.5;3;5;-0.8;200;1000;0.5;0.2;-0.2;2;3;-0.8;58;38;0.2;2;5;0.5;400;200;-0.2;0.8;-0.5;2;3;63;64;2;5;700;750;1;2;3;39;52;2;5;300;600;2;3;37;23;2;4;200;100;3;2;67;60;5;2;700;400;3;1;3;50;100;1
Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM;18.01.2024 14:19;18.01.2024 14:26;18.01.2024 14:26;;5e81ad7cb706bb88bc5c2fc8;ai_feedback_vs_teacher_feedback;5;5;-0.5;72;87;0.5;4;3;-0.2;0;0;0.2;0.8;-0.8;3;5;-0.5;45;81;0.8;4;3;-0.2;0;0;-0.8;0.2;0.5;5;5;78;75;4;3;0;0;1;5;5;22;87;4;3;0;0;5;5;17;70;4;3;0;0;3;5;81;68;3;4;0;0;3;1;3;50;100;1
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt;18.01.2024 14:20;18.01.2024 14:27;18.01.2024 14:27;;5d8154a847a45600189e8f35;science_kit_vs_traditional_program;5;6;0.2;45;58;0.5;5;6;0.8;1000;1000;-0.8;-0.2;-0.5;5;6;-0.2;43;32;0.8;5;6;0.5;1000;1000;0.2;-0.8;-0.5;5;6;43;25;5;6;1000;1000;1;5;6;53;20;5;6;1000;1000;5;6;50;77;5;6;1000;1000;6;5;73;50;6;5;1000;1000;3;1;3;50;70;1
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i;18.01.2024 14:22;18.01.2024 14:36;18.01.2024 14:36;;5a4a93ab35c9d50001fdd082;goal_oriented_vs_regular_class;6;7;0.2;49;60;-0.5;6;6;0.5;0;100;0.8;-0.8;-0.2;6;6;-0.2;55;47;0.2;6;6;-0.8;100;0;0.5;-0.5;0.8;6;6;39;79;6;6;0;127;1;6;6;30;42;6;6;0;0;6;6;67;64;6;6;120;130;6;6;15;56;6;6;0;0;3;1;3;0;100;1
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT;18.01.2024 14:25;18.01.2024 14:34;18.01.2024 14:34;;5c3fa8f562ada90001275f5e;ai_feedback_vs_teacher_feedback;7;3;0.2;45;77;-0.5;7;6;-0.8;40;100;-0.2;0.8;0.5;7;6;-0.8;53;58;-0.2;7;6;0.5;75;150;0.2;0.8;-0.5;7;7;59;29;7;6;100;150;1;7;6;52;44;6;6;50;100;7;7;41;15;7;6;25;50;6;6;68;43;7;7;150;50;3;1;3;50;100;1
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka;18.01.2024 14:28;18.01.2024 14:37;18.01.2024 14:37;;59930c0fb9269d00016ec252;science_kit_vs_traditional_program;7;7;0.5;38;60;0.2;2;5;-0.2;105;128;0.8;-0.5;-0.8;7;7;-0.2;41;67;0.5;2;5;-0.8;124;150;0.2;-0.5;0.8;7;7;70;76;2;5;135;100;1;7;7;34;59;3;5;88;120;7;7;71;72;2;5;141;150;7;7;21;71;5;2;100;146;3;1;3;50;100;1
d46-CGYGein5YPwnLoo3IhOQteqpgqQ596-AH5jw92g-N6Bg8ax_xChKI8yKtFDC;18.01.2024 14:30;18.01.2024 14:38;18.01.2024 14:38;;5d2466b24813f6000188f4b4;goal_oriented_vs_regular_class;2;6;-0.5;49;16;0.8;1;4;-0.8;5;20;0.5;0.2;-0.2;2;6;0.8;39;37;0.2;1;5;-0.5;5;20;0.5;-0.8;-0.2;2;6;52;77;1;5;5;30;1;2;6;43;19;1;5;5;20;2;6;46;83;1;6;5;45;6;2;54;51;6;1;25;5;3;1;3;50;100;1
rk_w4sX-Z_pGgSAMSpSTc8MSULC9xSVj5Zv2lwmsjyUJ6snN7RTlJbdrdKjRznv_;18.01.2024 14:32;18.01.2024 14:38;18.01.2024 14:38;;5e5533d92d3b4a0009806de9;goal_oriented_vs_regular_class;2;6;-0.5;45;22;-0.8;2;6;0.8;0;0;0.5;0.2;-0.2;2;6;0.5;42;67;-0.2;2;6;-0.8;0;0;0.2;0.8;-0.5;2;6;35;68;2;6;0;0;1;2;6;48;59;2;6;0;0;2;6;39;55;2;6;0;0;6;2;62;49;6;2;0;0;3;1;3;50;100;1
iixn0V6RNVLLT3NojoSH3SIlF21iOshWOS0F7i5R0nV25UMoMQCmBrZUlbz7Tth8;18.01.2024 14:35;18.01.2024 15:00;18.01.2024 15:00;;5f7d74f19d8158247b72d34e;3d_video_vs_2d_video;3;5;0.2;29;29;-0.8;4;4;0.8;200;500;0.5;-0.5;-0.2;2;4;0.2;29;49;-0.8;4;4;-0.5;200;400;0.5;-0.2;0.8;2;5;47;61;4;5;200;500;1;1;5;17;20;4;5;300;200;2;5;29;64;3;5;300;400;6;2;9;13;5;4;150;300;3;1;2;50;50;1
ytT1zf_RXwkynTn3selBoOlcWi-3Q5SktM8sSm8kTeVpKA1ycbTgsFG7Rk0FkJcM;18.01.2024 14:35;18.01.2024 14:48;18.01.2024 14:48;;5d5320870c2a6a0001cc6c7a;ai_feedback_vs_teacher_feedback;6;2;0.8;37;57;-0.8;6;1;0.5;0;0;0.2;-0.2;-0.5;6;3;-0.2;63;62;-0.5;6;1;0.5;20;0;-0.8;0.8;0.2;6;2;43;27;6;2;0;0;1;5;2;47;61;5;1;0;0;5;2;53;33;5;2;0;0;2;6;43;64;2;6;0;10;3;1;3;50;100;1
EDxFL5HouHq7JUSCFXdZL6IgS5B3AzzrqoupabO0H9M10J4cwwzCRyhetunzkwrP;18.01.2024 14:37;18.01.2024 14:46;18.01.2024 14:46;;5855b0d59fcc070001dfe2a7;3d_video_vs_2d_video;4;7;-0.5;55;75;0.8;4;6;-0.8;250;900;0.2;0.5;-0.2;5;7;-0.8;55;58;-0.2;4;6;0.8;250;500;0.2;-0.5;0.5;5;7;51;28;4;6;150;250;1;5;5;37;20;4;3;200;100;4;5;38;27;4;4;190;200;5;4;22;47;4;4;150;350;3;1;3;50;100;1
rVtxQACjMh1sSxya8mojmyFx6SXQVfnFqPvYCAf1DydPf9ZRN9zPU0ZWFBZV_ZJD;18.01.2024 14:41;18.01.2024 14:49;18.01.2024 14:49;;58dedd9f167bc20001b4a66d;3d_video_vs_2d_video;5;7;-0.2;82;84;-0.8;6;7;0.2;0;0;-0.5;0.5;0.8;5;7;-0.2;12;86;-0.5;6;7;0.5;0;0;0.8;-0.8;0.2;5;7;84;12;6;7;0;0;1;5;7;81;6;6;7;0;0;6;7;18;95;6;7;0;0;7;5;65;17;7;6;0;0;3;1;2;0;100;1
v-ule8_tYO2ANMrC-nIMJcEDEowrDvNbYy0oMM5_piSbQAbIlImKqggWqIa_wnOz;18.01.2024 14:41;18.01.2024 14:52;18.01.2024 14:52;;5ec9c8ac6c15054fe7508271;science_kit_vs_traditional_program;6;7;0.5;19;79;0.2;5;7;-0.8;200;400;-0.5;0.8;-0.2;6;7;-0.8;43;28;0.5;5;7;0.8;250;200;0.2;-0.2;-0.5;7;7;79;22;6;7;300;175;1;6;7;72;52;6;7;300;150;6;7;22;57;6;7;200;200;7;6;69;59;7;7;300;200;3;1;3;50;100;1
J8DHuG2PvFG6of71_7J8PzbDRsxQ1nb3Mhkzfarw0c5o5o4KM4mZZaJmy8XIREB7;18.01.2024 14:41;18.01.2024 14:53;18.01.2024 14:53;;5fc953527f6167409e5654e0;ai_feedback_vs_teacher_feedback;3;3;0.8;1;80;0.5;2;2;-0.5;0;30;0.2;-0.2;-0.8;2;3;-0.8;1;58;0.2;2;2;0.8;0;30;-0.2;-0.5;0.5;2;3;100;19;2;3;30;0;1;2;3;1;54;2;2;0;30;2;3;100;75;2;2;30;30;3;2;20;100;3;2;30;60;3;1;2;0;100;1
j6GdHicxmK24_vrh9FnUWyeb64MM0IwzfCv09f_RXtG1cTO9sHHdHV5cNbRuLrtF;18.01.2024 14:41;18.01.2024 14:50;18.01.2024 14:50;;58eec4b09fbdde00011e95b0;science_kit_vs_traditional_program;4;5;0.2;48;60;0.8;4;4;-0.5;0;0;-0.8;0.5;-0.2;4;4;-0.5;41;56;0.2;4;4;-0.2;0;0;0.8;0.5;-0.8;4;5;55;55;4;4;0;0;1;4;5;60;74;4;4;0;0;4;5;53;48;4;4;0;0;5;4;69;60;4;4;0;0;3;1;3;50;100;1
FvRuRwFWwrFNMRcjpBJKE3N3Abg4gq9SYu1JFYAzGvsWN1UEy7d-f5B6JMqVPNXM;18.01.2024 14:44;18.01.2024 14:54;18.01.2024 14:54;;5ea01c7e792cdc00099748d6;ai_feedback_vs_teacher_feedback;2;7;0.8;14;15;0.2;4;7;-0.5;0;0;-0.2;-0.8;0.5;5;7;0.5;48;23;-0.2;7;7;-0.5;0;0;0.2;-0.8;0.8;5;7;58;85;7;7;0;0;1;6;7;60;20;7;7;0;0;6;7;71;86;7;7;0;0;7;6;7;41;7;7;0;0;3;1;3;50;100;1
Sc0h2YJKHodf_hIp3yrw1YuBbxEAKIqV-BSyiJDd7WNVEqtTxVZ2yIjM-YGkWTTc;18.01.2024 14:44;18.01.2024 14:53;18.01.2024 14:53;;5fa9392c0cc79c03b3f4eb58;ai_feedback_vs_teacher_feedback;7;7;0.8;68;55;0.2;6;7;-0.8;50;20;0.5;-0.2;-0.5;7;7;0.8;46;49;0.2;7;7;-0.8;30;30;-0.2;0.5;-0.5;7;7;68;79;7;7;50;55;1;7;7;44;41;7;7;40;30;7;7;65;28;7;7;60;25;7;7;29;70;7;7;35;65;3;1;3;50;100;1
Bwm5Q8V87PoGw5XVDahN_M9rHM-Fj4NKZCfW1TJrFOMXbDLelRYulKR1jrpB60zJ;18.01.2024 14:45;18.01.2024 14:52;18.01.2024 14:52;;5d87a74208667b0001eff922;goal_oriented_vs_regular_class;3;4;0.5;33;44;0.8;2;3;-0.2;30;50;-0.5;0.2;-0.8;3;6;-0.8;49;60;-0.5;3;4;-0.2;40;30;0.5;0.2;0.8;3;4;37;43;3;3;30;50;1;3;4;27;36;3;4;30;50;3;3;27;31;3;4;30;50;3;3;32;13;3;2;30;50;3;1;2;50;100;2
VsddQHsvjWW0qTamHyDmJm8kiC-zRyUVY-jqJ9fF6A89XvvHtBspSle2uMBIR1ZO;18.01.2024 14:52;18.01.2024 14:58;18.01.2024 14:58;;5f6fb3e1e5d748575a2cff99;science_kit_vs_traditional_program;6;7;0.2;77;87;-0.2;5;5;0.8;5;5;-0.8;-0.5;0.5;6;7;-0.8;78;81;-0.2;4;5;0.2;5;5;0.5;0.8;-0.5;7;7;78;80;4;5;5;5;1;7;7;73;72;4;5;5;5;7;7;78;80;5;5;5;5;7;7;75;80;4;4;5;5;3;1;3;50;70;1
s9STeqUnYHAuarriU6I-MQBs4J6VNzOTiHze6psxnaCENWfkmwDjNsf40HJYCCuL;18.01.2024 16:00;18.01.2024 16:10;18.01.2024 16:10;;5ab8c3fb9534ba0001c6b60d;ai_feedback_vs_teacher_feedback;6;6;0.2;49;49;-0.8;4;6;-0.5;0;0;-0.2;0.8;0.5;5;7;0.2;69;77;-0.8;4;6;0.8;0;0;0.5;-0.5;-0.2;6;7;54;81;4;6;0;0;1;6;7;51;73;4;6;0;0;6;7;46;72;4;6;0;0;7;6;57;50;6;4;0;0;3;1;3;50;100;1
